date,load_mw
2017-07-08,29695.75
2017-07-09,28985.375
2017-07-10,33405.666666666664
2017-07-11,34057.083333333336
2017-07-12,33370.25
2017-07-13,33248.458333333336
2017-07-14,32323.291666666668
2017-07-15,29032.833333333332
2017-07-16,28683.25
2017-07-17,32329.125
2017-07-18,33176.208333333336
2017-07-19,34783.416666666664
2017-07-20,32930.916666666664
2017-07-21,32514.041666666668
2017-07-22,29402.458333333332
2017-07-23,28730.333333333332
2017-07-24,31732.958333333332
2017-07-25,32730.916666666668
2017-07-26,32432.041666666668
2017-07-27,31784.541666666668
2017-07-28,31181.0
2017-07-29,28476.833333333332
2017-07-30,27514.041666666668
2017-07-31,31319.333333333332
2017-08-01,31711.166666666668
2017-08-02,32094.875
2017-08-03,31421.916666666668
2017-08-04,31207.166666666668
2017-08-05,28559.375
2017-08-06,27533.333333333332
2017-08-07,31857.25
2017-08-08,32755.416666666668
2017-08-09,32802.791666666664
2017-08-10,32386.083333333332
2017-08-11,32015.291666666668
2017-08-12,28918.791666666668
2017-08-13,27993.5
2017-08-14,32480.708333333332
2017-08-15,32452.833333333332
2017-08-16,32522.625
2017-08-17,32681.375
2017-08-18,31729.791666666668
2017-08-19,27291.5
2017-08-20,28382.208333333332
2017-08-21,33011.666666666664
2017-08-22,33564.791666666664
2017-08-23,33512.541666666664
2017-08-24,32620.208333333332
2017-08-25,31897.833333333332
2017-08-26,29563.0
2017-08-27,28424.041666666668
2017-08-28,28355.25
2017-08-29,33372.458333333336
2017-08-30,33474.708333333336
2017-08-31,33364.083333333336
2017-09-01,32585.75
2017-09-02,29806.625
2017-09-03,29064.416666666668
2017-09-04,33639.208333333336
2017-09-05,34307.208333333336
2017-09-06,33477.0
2017-09-07,33917.291666666664
2017-09-08,33257.458333333336
2017-09-09,30395.708333333332
2017-09-10,29389.166666666668
2017-09-11,32045.0
2017-09-12,32584.333333333332
2017-09-13,33104.916666666664
2017-09-14,33655.416666666664
2017-09-15,33501.291666666664
2017-09-16,30539.458333333332
2017-09-17,29760.875
2017-09-18,32950.0
2017-09-19,33393.5
2017-09-20,32705.041666666668
2017-09-21,33722.5
2017-09-22,33077.5
2017-09-23,30198.833333333332
2017-09-24,29657.583333333332
2017-09-25,34023.666666666664
2017-09-26,34139.875
2017-09-27,33786.458333333336
2017-09-28,34053.333333333336
2017-09-29,34287.666666666664
2017-09-30,31516.583333333332
2017-10-01,30170.916666666668
2017-10-02,31638.958333333332
2017-10-03,33095.125
2017-10-04,32762.125
2017-10-05,33517.375
2017-10-06,34421.541666666664
2017-10-07,30798.833333333332
2017-10-08,31360.25
2017-10-09,33491.083333333336
2017-10-10,31871.791666666668
2017-10-11,32338.666666666668
2017-10-12,32700.708333333332
2017-10-13,31178.708333333332
2017-10-14,30827.041666666668
2017-10-15,30039.958333333332
2017-10-16,33026.166666666664
2017-10-17,32648.375
2017-10-18,33564.791666666664
2017-10-19,33426.333333333336
2017-10-20,32679.083333333332
2017-10-21,30954.5
2017-10-22,30330.458333333332
2017-10-23,33629.541666666664
2017-10-24,32479.125
2017-10-25,31782.041666666668
2017-10-26,33682.291666666664
2017-10-27,32426.125
2017-10-28,30725.666666666668
2017-10-29,30728.958333333332
2017-10-30,35447.291666666664
2017-10-31,34757.0
2017-11-01,36359.166666666664
2017-11-02,35269.208333333336
2017-11-03,33870.958333333336
2017-11-04,34006.5
2017-11-05,33609.041666666664
2017-11-06,36316.791666666664
2017-11-07,35060.541666666664
2017-11-08,35159.416666666664
2017-11-09,35019.666666666664
2017-11-10,33758.416666666664
2017-11-11,34079.666666666664
2017-11-12,34423.083333333336
2017-11-13,38086.791666666664
2017-11-14,35814.041666666664
2017-11-15,35179.541666666664
2017-11-16,34225.916666666664
2017-11-17,34902.791666666664
2017-11-18,32486.041666666668
2017-11-19,34106.416666666664
2017-11-20,35299.333333333336
2017-11-21,34736.5
2017-11-22,35107.875
2017-11-23,35634.958333333336
2017-11-24,36609.041666666664
2017-11-25,36454.125
2017-11-26,36248.208333333336
2017-11-27,37544.333333333336
2017-11-28,38301.75
2017-11-29,37591.708333333336
2017-11-30,38041.458333333336
2017-12-01,37827.083333333336
2017-12-02,35562.25
2017-12-03,34225.5
2017-12-04,36695.666666666664
2017-12-05,36693.625
2017-12-06,35996.583333333336
2017-12-07,36469.75
2017-12-08,39072.291666666664
2017-12-09,37118.791666666664
2017-12-10,39589.166666666664
2017-12-11,42847.041666666664
2017-12-12,43034.125
2017-12-13,41944.875
2017-12-14,41975.375
2017-12-15,41183.75
2017-12-16,40095.625
2017-12-17,38653.541666666664
2017-12-18,40642.541666666664
2017-12-19,40100.083333333336
2017-12-20,38226.75
2017-12-21,37859.875
2017-12-22,36816.25
2017-12-23,34312.666666666664
2017-12-24,32278.083333333332
2017-12-25,30255.75
2017-12-26,32119.75
2017-12-27,36625.833333333336
2017-12-28,37704.416666666664
2017-12-29,38333.208333333336
2017-12-30,35413.541666666664
2017-12-31,33053.041666666664
2018-01-01,33337.416666666664
2018-01-02,39282.208333333336
2018-01-03,39751.0
2018-01-04,40728.541666666664
2018-01-05,40915.5
2018-01-06,38793.541666666664
2018-01-07,38113.916666666664
2018-01-08,43406.916666666664
2018-01-09,43230.375
2018-01-10,41864.291666666664
2018-01-11,42103.25
2018-01-12,42190.458333333336
2018-01-13,38250.666666666664
2018-01-14,37745.0
2018-01-15,40680.125
2018-01-16,42035.708333333336
2018-01-17,42609.333333333336
2018-01-18,42439.333333333336
2018-01-19,42424.25
2018-01-20,39598.875
2018-01-21,39670.291666666664
2018-01-22,40803.041666666664
2018-01-23,39860.125
2018-01-24,40032.333333333336
2018-01-25,40502.0
2018-01-26,40720.25
2018-01-27,36848.458333333336
2018-01-28,35079.625
2018-01-29,38858.833333333336
2018-01-30,40920.833333333336
2018-01-31,40703.5
2018-02-01,41391.916666666664
2018-02-02,40805.333333333336
2018-02-03,39261.041666666664
2018-02-04,37895.75
2018-02-05,42729.916666666664
2018-02-06,43013.833333333336
2018-02-07,42570.125
