,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
112,Corbin Carroll,22,427,Maj-NL,Arizona,153,638,558,116,159,29,10,25,76,57,1,125,13,6,4,7,54,5,0.285,0.362,0.507,0.87,682998
113,Evan Carter,20,426,Maj-AL,Texas,23,75,62,15,19,4,1,5,12,12,1,24,0,0,1,1,3,0,0.307,0.413,0.645,1.059,694497
114,Curt Casali,34,501,Maj-NL,Cincinnati,40,96,80,8,14,2,0,0,6,11,0,23,2,3,0,1,0,0,0.175,0.29,0.2,0.49,592200
115,Triston Casas,23,443,Maj-AL,Boston,131,498,427,66,113,21,2,24,63,69,2,125,1,0,1,7,0,0,0.265,0.368,0.492,0.859,671213
116,Nick Castellanos,31,426,Maj-NL,Philadelphia,156,666,621,77,168,36,2,29,106,36,0,182,3,0,6,17,11,2,0.271,0.311,0.475,0.786,592206
117,Diego Castillo,25,488,Maj-NL,Arizona,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,660636
118,Harold Castro,29,431,Maj-NL,Colorado,97,261,249,23,64,13,0,1,31,9,0,64,0,1,2,5,1,0,0.257,0.281,0.321,0.602,605612
119,Rodolfo Castro,24,429,Maj-NL,"Philadelphia,Pittsburgh",91,256,227,21,48,7,0,6,24,23,1,74,5,0,1,4,1,4,0.212,0.297,0.322,0.619,666801
120,Willi Castro,26,426,Maj-AL,Minnesota,124,409,358,60,92,18,5,9,34,34,1,99,12,2,3,5,33,5,0.257,0.339,0.411,0.75,650489
121,Jake Cave,30,426,Maj-NL,Philadelphia,64,199,180,18,39,8,1,5,21,15,0,53,1,1,2,3,3,0,0.217,0.278,0.356,0.633,595909
122,Yu Chang,27,482,Maj-AL,Boston,39,112,105,12,17,2,0,6,18,3,0,34,2,2,0,2,4,0,0.162,0.2,0.352,0.552,644374
123,Matt Chapman,30,427,Maj-AL,Toronto,139,576,504,66,119,39,2,17,53,62,1,164,8,0,2,4,4,1,0.236,0.328,0.423,0.751,656305
124,Michael Chavis,27,426,Maj-NL,Washington,48,96,91,16,22,3,0,2,5,5,0,33,0,0,0,3,1,0,0.242,0.281,0.341,0.622,656308
125,Jazz Chisholm Jr.,25,427,Maj-NL,Miami,95,375,344,49,87,12,2,18,50,26,0,115,2,1,2,4,22,3,0.253,0.308,0.456,0.764,665862
126,Jiman Choi,32,426,Maj-NL,"Pittsburgh,San Diego",39,117,104,12,17,5,0,6,13,10,0,35,1,0,2,2,0,0,0.164,0.239,0.385,0.624,596847
127,Kody Clemens,27,518,Maj-NL,Philadelphia,47,148,139,15,32,7,0,4,13,8,0,40,1,0,0,1,0,0,0.23,0.277,0.367,0.644,665019
128,Ernie Clement,27,438,Maj-AL,Toronto,29,52,50,7,19,1,1,1,10,1,0,4,0,0,1,0,1,0,0.38,0.385,0.5,0.885,676391
129,Oscar Col\xc3\xa1s,24,447,Maj-AL,Chicago,73,257,240,32,52,9,0,5,19,12,1,70,1,2,2,4,4,3,0.217,0.255,0.317,0.572,693049
131,Zack Collins,28,468,Maj-AL,Cleveland,2,6,4,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0.5,0.667,0.5,1.167,641470
132,Michael Conforto,30,426,Maj-NL,San Francisco,124,466,402,58,96,14,0,15,58,53,4,104,7,0,4,12,4,0,0.239,0.335,0.386,0.72,624424
133,William Contreras,25,426,Maj-NL,Milwaukee,140,607,536,86,155,38,1,17,78,63,2,123,5,1,2,23,6,1,0.289,0.368,0.459,0.827,661388
134,Willson Contreras,31,437,Maj-NL,St. Louis,124,491,424,53,111,27,0,20,67,51,0,110,13,1,2,12,6,3,0.262,0.357,0.467,0.824,575929
135,Garrett Cooper,32,426,Maj-NL,"Miami,San Diego",121,449,414,41,102,18,0,16,59,31,0,130,2,0,2,14,0,0,0.246,0.301,0.406,0.707,643265
136,Franchy Cordero,28,497,Maj-AL,New York,24,71,69,9,13,2,0,6,13,2,0,25,0,0,0,0,0,0,0.188,0.211,0.478,0.69,614173
137,Carlos Correa,28,439,Maj-AL,Minnesota,134,575,509,60,117,29,2,18,65,59,3,131,4,0,3,30,0,0,0.23,0.313,0.401,0.714,621043
138,Colton Cowser,23,477,Maj-AL,Baltimore,26,77,61,15,7,2,0,0,4,13,0,22,2,0,1,1,1,0,0.115,0.286,0.148,0.433,681297
139,Brandon Crawford,36,426,Maj-NL,San Francisco,92,317,280,31,55,11,1,7,38,28,1,79,4,1,4,5,3,0,0.196,0.275,0.318,0.593,543063
140,J.P. Crawford,28,426,Maj-AL,Seattle,143,631,529,93,141,35,0,19,65,92,1,123,5,3,2,7,2,0,0.267,0.379,0.441,0.82,641487
141,Kutter Crawford,27,592,Maj-AL,Boston,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,676710
142,C.J. Cron,33,436,"Maj-AL,Maj-NL","Colorado,Los Angeles",69,269,251,36,59,11,0,10,32,15,0,63,1,0,2,13,0,0,0.235,0.279,0.398,0.677,543068
143,Jake Cronenworth,29,463,Maj-NL,San Diego,125,514,451,54,105,24,7,10,48,46,2,94,11,1,5,8,6,1,0.233,0.316,0.384,0.699,630105
144,Tyler Cropley,27,434,Maj-AL,Kansas City,2,7,6,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0.167,0.143,0.167,0.31,680418
145,Pete Crow-Armstrong,21,426,Maj-NL,Chicago,13,19,14,3,0,0,0,0,1,3,0,7,0,2,0,0,2,2,0.0,0.177,0.0,0.177,691718
146,Nelson Cruz,42,516,Maj-NL,San Diego,48,148,139,9,35,5,1,5,23,6,1,45,2,0,1,2,1,0,0.252,0.291,0.41,0.701,443558
147,Oneil Cruz,24,601,Maj-NL,Pittsburgh,8,35,30,5,7,1,0,0,2,5,0,8,0,0,0,0,3,0,0.233,0.343,0.267,0.61,665833
148,Charlie Culberson,34,503,Maj-NL,Atlanta,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,518586
149,Travis d\'Arnaud,34,426,Maj-NL,Atlanta,73,287,262,29,56,12,0,11,37,21,0,66,3,0,1,6,0,0,0.214,0.279,0.386,0.664,518595
150,David Dahl,29,606,Maj-NL,San Diego,3,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,621311
151,Bobby Dalbec,28,426,Maj-AL,Boston,20,53,49,6,10,2,0,1,1,4,0,28,0,0,0,0,1,0,0.204,0.264,0.306,0.57,666915
152,Henry Davis,23,426,Maj-NL,Pittsburgh,62,255,225,27,48,10,0,7,24,25,2,69,4,0,1,3,3,5,0.213,0.302,0.351,0.653,680779
153,J.D. Davis,30,431,Maj-NL,San Francisco,143,544,478,61,119,23,1,18,69,52,0,150,6,0,6,16,1,0,0.249,0.327,0.414,0.741,605204
154,Jonathan Davis,31,515,Maj-NL,Miami,34,104,90,22,22,4,1,2,10,7,0,29,2,2,2,1,1,2,0.244,0.307,0.378,0.685,641505
